Wall time,Step,Value
1710435571.4133801,1,0.3594439923763275
1710435615.7693803,2,0.6898679733276367
1710435657.92638,3,0.7334989905357361
1710435699.8113978,4,0.7779070138931274
1710435743.9903803,5,0.8158550262451172
1710435785.8123903,6,0.7980470061302185
1710435827.596385,7,0.7777959704399109
1710435869.5463848,8,0.8146770000457764
1710435913.5743895,9,0.8063560128211975
1710435955.8583796,10,0.8173210024833679
1710435998.0393848,11,0.8004950284957886
1710436039.768388,12,0.8002470135688782
1710436080.890379,13,0.7934209704399109
1710436125.0333786,14,0.7230349779129028
1710436166.536398,15,0.8282870054244995
1710436208.8233802,16,0.793720006942749
1710436253.0243785,17,0.8308359980583191
1710436294.6493783,18,0.813510000705719
1710436337.8910973,19,0.8184279799461365
1710436379.7261171,20,0.8683680295944214
1710436424.7970946,21,0.8002769947052002
1710436466.5020933,22,0.7952250242233276
1710436508.741098,23,0.8155930042266846
1710436550.2290933,24,0.8467090129852295
1710436594.2041032,25,0.82853102684021
1710436635.7620997,26,0.8003309965133667
1710436677.5100996,27,0.8354740142822266
1710436719.835097,28,0.8522999882698059
1710436763.431113,29,0.8038169741630554
1710436805.3490949,30,0.8746129870414734
1710436847.184095,31,0.8433449864387512
1710436889.0681098,32,0.7988579869270325
1710436933.1170971,33,0.8519139885902405
1710436974.967095,34,0.8552500009536743
1710437016.777101,35,0.8466950058937073
1710437058.7240977,36,0.868507981300354
1710437102.5470948,37,0.8607270121574402
1710437144.2480962,38,0.8493750095367432
1710437185.9630942,39,0.8813530206680298
1710437227.7480967,40,0.8770890235900879
1710437271.9091012,41,0.8391849994659424
1710437313.2581058,42,0.8292520046234131
1710437354.9130952,43,0.8359779715538025
1710437396.575095,44,0.8762509822845459
1710437440.6101034,45,0.8432160019874573
1710437482.111095,46,0.8404589891433716
1710437523.9560993,47,0.83719801902771
1710437565.745095,48,0.8695650100708008
1710437609.7671027,49,0.8561139702796936
1710437651.7810967,50,0.8497239947319031
1710437694.355097,51,0.8171929717063904
1710437736.4970968,52,0.8247169852256775
1710437781.0300949,53,0.8387349843978882
1710437822.9951055,54,0.8418650031089783
1710437864.8621073,55,0.8612160086631775
1710437906.5081127,56,0.8332840204238892
1710437950.8050964,57,0.8628399968147278
1710437992.4970934,58,0.8558819890022278
1710438034.7050996,59,0.824150025844574
1710438077.1590948,60,0.8644629716873169
1710438121.0310953,61,0.8593609929084778
1710438163.340106,62,0.8389530181884766
1710438205.0870962,63,0.8561139702796936
1710438247.4010952,64,0.8593609929084778
1710438291.9380991,65,0.8593609929084778
1710438333.9540982,66,0.8612160086631775
1710438375.9010968,67,0.8752340078353882
1710438418.5310948,68,0.8703500032424927
1710438462.5390966,69,0.8701320290565491
1710438505.321095,70,0.8703500032424927
1710438547.3040988,71,0.8593609929084778
1710438589.3860953,72,0.8542590141296387
1710438633.6320987,73,0.8701320290565491
1710438675.7971098,74,0.8752340078353882
1710438718.0060935,75,0.8593609929084778
1710438760.0461102,76,0.8558819890022278
1710438804.547113,77,0.8752340078353882
1710438847.0070956,78,0.8593609929084778
1710438889.273095,79,0.8491569757461548
1710438930.916095,80,0.8593609929084778
1710438975.558097,81,0.8491569757461548
1710439017.3791082,82,0.8593609929084778
1710439060.0340936,83,0.8660860061645508
1710439102.097096,84,0.8558819890022278
1710439146.676099,85,0.8558819890022278
1710439188.525095,86,0.8609840273857117
1710439230.427106,87,0.8719729781150818
1710439273.042095,88,0.8719729781150818
1710439317.056095,89,0.8719729781150818
1710439359.0831096,90,0.8609840273857117
1710439400.7710948,91,0.8593609929084778
1710439443.154102,92,0.8644629716873169
1710439488.033095,93,0.8719729781150818
1710439529.6930995,94,0.8719729781150818
1710439571.2990947,95,0.8628399968147278
1710439612.923097,96,0.8644629716873169
1710439658.1421125,97,0.8754519820213318
1710439699.9970973,98,0.8577380180358887
1710439741.550112,99,0.8628399968147278
1710439781.7110994,100,0.8593609929084778
